timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.71,1024.88,29.48,39065.8,594,1506,400,2203,400,1286,400,665,400,1319,400,1033
1000,33.71,1024.87,29.47,39880.43,620,1529,400,2334,400,1203,400,599,400,1306,400,1054
2000,33.71,1024.87,29.46,40967.71,601,1570,464,2445,400,1175,400,576,400,1257,400,1100
3000,33.71,1024.87,29.45,42242.79,543,1512,513,2496,400,1149,400,544,400,1240,400,1122
4000,33.71,1024.87,29.42,43826.88,480,1517,508,2531,400,1151,400,524,400,1216,400,1130
5000,33.71,1024.87,29.41,45338.13,404,1455,440,2436,400,1145,400,504,400,1177,400,1136
6001,33.72,1024.86,29.39,46439.05,400,1327,400,2464,400,1153,400,500,400,1173,400,1151
7001,33.72,1024.86,29.38,47487.0,400,1274,400,2385,400,1135,400,475,400,1158,400,1165
8001,33.72,1024.86,29.36,47838.3,400,1260,400,2256,400,1089,400,444,400,1160,400,1178
9001,33.72,1024.86,29.38,47838.3,400,1296,400,2244,400,1054,400,427,400,1174,400,1208
