timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.6,37.1,33985.41,57330,52018,41816,21483,2008,2854,2857,2930,57330,34694,57330,41491
1000,31.6,37.08,34346.07,57330,52680,42860,21762,1783,2669,2415,2801,57330,34415,57330,41386
2000,31.6,37.06,34743.13,57330,52471,42890,22250,1626,2591,1983,2653,57330,33195,57330,42571
3000,31.61,37.05,34916.12,57330,52087,42293,21064,1581,2556,1883,2521,57330,33787,57330,44628
4000,31.61,37.01,35595.53,57330,51983,41159,20855,1739,2604,2036,2614,57330,33299,57330,44802
5001,31.61,37.0,35929.9,57330,51913,40861,20402,1988,2718,2538,2669,57330,33753,57330,45221
6001,31.61,36.96,36083.97,57330,52819,40652,20681,2227,2803,2592,2690,57330,33055,57330,45360
7001,31.62,36.95,36053.05,57330,52297,41816,20925,2420,2814,2749,2706,57330,33299,57330,45395
8001,31.62,36.92,36114.94,57330,52959,43069,21552,2693,2900,3385,2902,57330,33265,57330,45046
9001,31.62,36.91,36022.18,57330,53377,44024,22215,3049,3001,4344,3279,57330,33334,57330,45046
