timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.7,36.13,29692.33,26612,34485,41816,45081,42353,34728,18893,14252,17500,15366,22118,22877
1000,31.7,36.13,29319.89,25785,33125,41398,44593,43994,35705,19885,14758,18176,15569,20671,21587
2000,31.7,36.15,28916.87,24613,31522,42293,45430,46321,36646,21098,15422,19099,15884,18576,19391
3000,31.71,36.18,28428.42,21429,28419,43158,46092,48439,38145,22297,15490,19913,16188,16715,17370
4000,31.71,36.19,28199.78,17500,24724,44411,46824,48201,38249,23042,15929,21167,17091,14165,16041
5000,31.71,36.19,27808.38,14785,22389,45933,47661,46291,37587,23607,16255,22752,18764,12483,15524
6001,31.71,36.19,27481.44,13475,21134,47156,47974,42950,36088,23703,16428,22918,19112,12152,15602
7001,31.71,36.22,27391.99,14854,23365,48320,48427,38385,34659,23565,16188,23055,19217,13531,16064
8001,31.72,36.23,27250.06,17817,25178,49036,49159,34566,32010,23110,16008,22793,18729,15653,17335
9001,31.72,36.25,26987.88,21622,29116,49304,49508,31105,30476,21953,15647,23000,19356,17101,18694
