timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.13,1012.54,34.6,14010.92,409,464,669,938,3711,3825,24971,10177,19913,11438,2028,3534
1000,33.13,1012.54,34.6,14057.77,403,452,670,958,3714,3835,24654,10244,19926,11359,2024,3570
2000,33.13,1012.54,34.61,13955.1,400,428,665,945,3687,3800,24654,10312,19954,11347,2039,3514
3000,33.13,1012.53,34.61,13682.55,406,441,666,927,3689,3845,24282,10244,20009,11336,2005,3539
4000,33.13,1012.54,34.61,13267.94,403,428,666,935,3672,3790,23993,10199,20147,11280,2002,3549
5000,33.13,1012.53,34.62,12973.11,418,433,657,933,3640,3830,23138,9805,20050,11449,2018,3514
6001,33.13,1012.53,34.62,12562.14,426,430,660,928,3660,3745,22642,9693,20243,11280,1997,3564
7001,33.13,1012.53,34.61,12283.16,444,429,671,940,3628,3750,21608,9772,20037,11246,2035,3595
8001,33.13,1012.53,34.62,11954.78,460,443,664,928,3635,3740,20685,9614,19802,11404,2021,3620
9001,33.13,1012.53,34.61,11714.9,485,445,664,931,3645,3765,20119,9141,19444,11167,2031,3585
