timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.9,1011.47,37.92,27517.39,420,245,13296,2667,44292,5535,51960,6493,23579,3570,614,221
1000,32.91,1011.47,37.87,27956.2,400,220,11180,2468,43367,5345,57330,6864,26901,4081,532,194
2000,32.91,1011.5,37.83,28486.16,400,208,10943,2431,42054,5325,57330,7464,28473,4267,455,166
3000,32.92,1011.5,37.8,28817.84,400,192,13034,2660,40801,5270,57330,7869,31821,4522,440,149
4000,32.92,1011.49,37.76,29258.72,463,195,15764,2745,37520,5009,57330,7813,34775,4768,708,169
5000,32.92,1011.48,37.73,29463.61,820,246,10769,2318,35461,4818,57330,7768,31374,4537,1649,264
6001,32.93,1011.46,37.71,29340.33,1643,366,7896,1942,34297,4803,57330,8004,27535,4111,2847,427
7001,32.93,1011.46,37.7,29137.15,2158,468,6755,1736,32686,4673,57330,7655,36595,4909,3819,542
8001,32.93,1011.45,37.7,28798.12,2592,519,3944,1267,30091,4442,57330,7408,43904,5415,4943,737
9001,32.94,1011.47,37.7,28351.8,3461,617,2455,1076,27742,4206,56823,6935,55540,6348,7914,1009
