timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.5,1005.09,38.25,185568.93,400,25,400,26,400,14,400,26,400,28,400,15
1000,31.5,1005.09,38.19,185773.98,400,18,400,22,400,13,400,14,400,22,400,16
2000,31.5,1005.07,38.14,185979.48,400,19,400,29,400,18,400,16,400,23,400,19
3000,31.49,1005.07,38.09,185346.29,400,21,400,30,400,12,400,20,400,28,400,16
4000,31.49,1005.08,38.06,185568.93,400,13,400,29,400,16,400,10,400,22,400,16
5000,31.49,1005.08,38.02,185773.98,400,17,400,23,400,13,400,4,400,25,400,16
6001,31.49,1005.07,37.99,185346.29,400,19,400,25,400,13,400,13,400,17,400,18
7001,31.49,1005.07,37.96,186286.31,400,16,400,23,400,10,400,10,400,19,400,11
8001,31.49,1005.07,37.95,185138.68,400,15,400,24,400,9,400,7,400,20,400,12
9001,31.49,1005.06,37.94,185867.35,400,17,400,22,400,12,400,4,400,13,400,8
