timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.59,1011.36,36.76,31777.93,11539,1972,21029,3173,9593,1951,5197,1693,7670,1930,1594,563
1000,33.59,1011.35,36.74,32265.32,9385,1672,23055,3474,7862,1699,5093,1628,6228,1757,1355,509
2000,33.6,1011.35,36.71,32590.22,9593,1706,25137,3765,6883,1512,6709,1900,5696,1586,1444,501
3000,33.6,1011.34,36.7,32819.0,8533,1559,25757,3875,6929,1584,9246,2267,5412,1607,1741,521
4000,33.6,1011.37,36.67,33051.03,6460,1313,22890,3459,7995,1695,10757,2501,5927,1663,1871,547
5000,33.61,1011.36,36.64,33312.71,4717,1156,18024,2905,9043,1847,11724,2664,6188,1702,1924,543
6001,33.61,1011.36,36.62,33659.16,3755,1007,13282,2600,9981,1979,15515,2909,7566,1889,1880,528
7001,33.61,1011.36,36.59,33794.33,3157,916,10271,2295,10595,2085,18975,3339,8302,1979,1703,490
8001,33.61,1011.35,36.57,33903.26,2931,860,9501,2200,11458,2198,23469,4001,8174,1953,1406,443
9001,33.62,1011.35,36.57,33985.41,2887,853,7954,1997,13930,2413,27397,4718,6147,1639,1253,399
